,URLS
0,https://www.amazon.in/s?k=iphone+all+mobiles&page=2&qid=1707827673&ref=sr_pg_1
1,https://www.amazon.in/s?k=iphone+all+mobiles&page=3&qid=1707827675&ref=sr_pg_2
2,https://www.amazon.in/s?k=iphone+all+mobiles&page=4&qid=1707827676&ref=sr_pg_3
3,https://www.amazon.in/s?k=iphone+all+mobiles&page=5&qid=1707827677&ref=sr_pg_4
4,https://www.amazon.in/s?k=iphone+all+mobiles&page=6&qid=1707827679&ref=sr_pg_5
5,https://www.amazon.in/s?k=iphone+all+mobiles&page=7&qid=1707827681&ref=sr_pg_6
6,https://www.amazon.in/s?k=iphone+all+mobiles&page=8&qid=1707827683&ref=sr_pg_7
7,https://www.amazon.in/s?k=iphone+all+mobiles&page=9&qid=1707827684&ref=sr_pg_8
8,https://www.amazon.in/s?k=iphone+all+mobiles&page=10&qid=1707827686&ref=sr_pg_9
9,https://www.amazon.in/s?k=iphone+all+mobiles&page=11&qid=1707827688&ref=sr_pg_10
10,https://www.amazon.in/s?k=iphone+all+mobiles&page=12&qid=1707827689&ref=sr_pg_11
11,https://www.amazon.in/s?k=iphone+all+mobiles&page=13&qid=1707827691&ref=sr_pg_12
12,https://www.amazon.in/s?k=iphone+all+mobiles&page=14&qid=1707827693&ref=sr_pg_13
13,https://www.amazon.in/s?k=iphone+all+mobiles&page=15&qid=1707827695&ref=sr_pg_14
14,https://www.amazon.in/s?k=iphone+all+mobiles&page=16&qid=1707827697&ref=sr_pg_15
15,https://www.amazon.in/s?k=iphone+all+mobiles&page=17&qid=1707827698&ref=sr_pg_16
16,https://www.amazon.in/s?k=iphone+all+mobiles&page=18&qid=1707827700&ref=sr_pg_17
17,https://www.amazon.in/s?k=iphone+all+mobiles&page=19&qid=1707827701&ref=sr_pg_18
18,https://www.amazon.in/s?k=iphone+all+mobiles&page=20&qid=1707827703&ref=sr_pg_19
